AccountNumber,NMI,DeviceNumber,DeviceType,RegisterCode,RateTypeDescription,StartDate,EndDate,ProfileReadValue,RegisterReadValue,QualityFlag
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 0:00,26/9/18 0:29,0.813,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 0:30,26/9/18 0:59,0.063,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 1:00,26/9/18 1:29,0.113,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 1:30,26/9/18 1:59,0.063,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 2:00,26/9/18 2:29,0.056,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 2:30,26/9/18 2:59,0.056,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 3:00,26/9/18 3:29,0.044,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 3:30,26/9/18 3:59,0.044,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 4:00,26/9/18 4:29,0.069,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 4:30,26/9/18 4:59,0.069,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 5:00,26/9/18 5:29,0.063,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 5:30,26/9/18 5:59,0.113,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 6:00,26/9/18 6:29,0.075,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 6:30,26/9/18 6:59,0.056,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 7:00,26/9/18 7:29,0.081,0,A
7046396094,60013404613,229641,MRIM,29641#E1,Generalusage,26/9/18 7:30,26/9/18 7:59,0.106,0,A
